image_name,text,label,image_path
79351.png,jew mad? get fuhrerious!,1,/content/drive/MyDrive/curate138dataset/offensive_images/79351.png
25489.png,brother... a day without a blast is a day wasted,1,/content/drive/MyDrive/curate138dataset/offensive_images/25489.png
72640.png,"is bribing muslims for liberal votes justin trudeau's only skill? why does justin trudeau love foreigners so much while openly disrespecting canadians, canadian values, our history and traditions, our seniors and veterans? sharia law has no place in canada! never has... never will.",1,/content/drive/MyDrive/curate138dataset/offensive_images/72640.png
93547.png,d.j. osama spin laden droppin' beats like the twin towers,1,/content/drive/MyDrive/curate138dataset/offensive_images/93547.png
74386.png,we said we would never forget why are you voting them into our government?,1,/content/drive/MyDrive/curate138dataset/offensive_images/74386.png
52610.png,i'm sick of politics so here's a pic of michelle obama riding a unicorn,1,/content/drive/MyDrive/curate138dataset/offensive_images/52610.png
69357.png,hey look at me! i'm a serial pedofile,1,/content/drive/MyDrive/curate138dataset/offensive_images/69357.png
54602.png,when you just finished shooting a bunch of black kids but accidently killed a squirrel,1,/content/drive/MyDrive/curate138dataset/offensive_images/54602.png
20619.png,when you beat the shit out of the tranny hooker after you nut and call it a f****t but it doesn't get back up,1,/content/drive/MyDrive/curate138dataset/offensive_images/20619.png
74530.png,what's the difference between a jew and a pizza? a pizza doesn't scream when you put it in the oven,1,/content/drive/MyDrive/curate138dataset/offensive_images/74530.png
29163.png,what kind of punch can take out 20 kids and 6 adults? a sandy hook,1,/content/drive/MyDrive/curate138dataset/offensive_images/29163.png
90583.png,we can kill as many as we want and your stupid government keeps bringing us in,1,/content/drive/MyDrive/curate138dataset/offensive_images/90583.png
52097.png,"if you're vaping inside a mcdonalds, inside a walmart ... that's the turducken of white trash",1,/content/drive/MyDrive/curate138dataset/offensive_images/52097.png
15803.png,what do you call a retarded jew? auschwistic,1,/content/drive/MyDrive/curate138dataset/offensive_images/15803.png
75321.png,cannibal tribe from indonesia will take muslim refugess in any amount,1,/content/drive/MyDrive/curate138dataset/offensive_images/75321.png
34508.png,jews are the problem. not just zionists or israelis. jews. all of them,1,/content/drive/MyDrive/curate138dataset/offensive_images/34508.png
25468.png,white people walked on all fours before black people came and showed them how to stand up,1,/content/drive/MyDrive/curate138dataset/offensive_images/25468.png
96578.png,mohammad is fucked by blink hacker group! oink oink! hi! my name's mohammad! fuck you muslims!,1,/content/drive/MyDrive/curate138dataset/offensive_images/96578.png
78409.png,i stand with hitler these was this time at auschwitz when i needed medical attention and doctor mengele was there for me,1,/content/drive/MyDrive/curate138dataset/offensive_images/78409.png
29814.png,"if you hold a black baby to your ear, you can hear the police sirens",1,/content/drive/MyDrive/curate138dataset/offensive_images/29814.png
54102.png,i'm uncertain where i stand on abortion i like the killing babies but hate the idea of giving women a choice,1,/content/drive/MyDrive/curate138dataset/offensive_images/54102.png
14052.png,this is racist but this is not?????,1,/content/drive/MyDrive/curate138dataset/offensive_images/14052.png
26759.png,that look when you wanna cut a bitch but you remember your a changed man,1,/content/drive/MyDrive/curate138dataset/offensive_images/26759.png
83456.png,whats the difference between santa and the jews santa goes down the chimney,1,/content/drive/MyDrive/curate138dataset/offensive_images/83456.png
24631.png,it's ma'am!! yooouu lookah like a man,1,/content/drive/MyDrive/curate138dataset/offensive_images/24631.png
