image_name,sentence,label,image_path,image_format,image_size,image_mode
79351.png,jew mad get fuhrerious,1,/content/drive/MyDrive/curate138dataset/offensive_images/79351.png,PNG,"(277, 399)",RGB
25489.png,brother a day without a blast is a day wasted,1,/content/drive/MyDrive/curate138dataset/offensive_images/25489.png,PNG,"(825, 549)",RGB
72640.png,is bribing muslims for liberal votes justin trudeaus only skill why does justin trudeau love foreigners so much while openly disrespecting canadians canadian values our history and traditions our seniors and veterans sharia law has no place in canada never has never will,1,/content/drive/MyDrive/curate138dataset/offensive_images/72640.png,PNG,"(534, 800)",RGB
93547.png,dj osama spin laden droppin beats like the twin towers,1,/content/drive/MyDrive/curate138dataset/offensive_images/93547.png,PNG,"(550, 365)",RGB
74386.png,we said we would never forget why are you voting them into our government,1,/content/drive/MyDrive/curate138dataset/offensive_images/74386.png,PNG,"(800, 800)",RGB
52610.png,i am sick of politics so here is a pic of michelle obama riding a unicorn,1,/content/drive/MyDrive/curate138dataset/offensive_images/52610.png,PNG,"(320, 400)",RGB
69357.png,hey look at me i am a serial pedofile,1,/content/drive/MyDrive/curate138dataset/offensive_images/69357.png,PNG,"(550, 366)",RGB
54602.png,when you just finished shooting a bunch of black kids but accidently killed a squirrel,1,/content/drive/MyDrive/curate138dataset/offensive_images/54602.png,PNG,"(550, 384)",RGB
20619.png,when you beat the shit out of the tranny hooker after you nut and call it a ft but it does not get back up,1,/content/drive/MyDrive/curate138dataset/offensive_images/20619.png,PNG,"(550, 366)",RGB
74530.png,what is the difference between a jew and a pizza a pizza does not scream when you put it in the oven,1,/content/drive/MyDrive/curate138dataset/offensive_images/74530.png,PNG,"(299, 400)",RGB
29163.png,what kind of punch can take out 20 kids and 6 adults a sandy hook,1,/content/drive/MyDrive/curate138dataset/offensive_images/29163.png,PNG,"(400, 400)",RGB
90583.png,we can kill as many as we want and your stupid government keeps bringing us in,1,/content/drive/MyDrive/curate138dataset/offensive_images/90583.png,PNG,"(825, 549)",RGB
52097.png,if you are vaping inside a mcdonalds inside a walmart that is the turducken of white trash,1,/content/drive/MyDrive/curate138dataset/offensive_images/52097.png,PNG,"(349, 400)",RGB
15803.png,what do you call a retarded jew auschwistic,1,/content/drive/MyDrive/curate138dataset/offensive_images/15803.png,PNG,"(825, 547)",RGB
75321.png,cannibal tribe from indonesia will take muslim refugess in any amount,1,/content/drive/MyDrive/curate138dataset/offensive_images/75321.png,PNG,"(267, 400)",RGB
34508.png,jews are the problem not just zionists or israelis jews all of them,1,/content/drive/MyDrive/curate138dataset/offensive_images/34508.png,PNG,"(550, 366)",RGB
25468.png,white people walked on all fours before black people came and showed them how to stand up,1,/content/drive/MyDrive/curate138dataset/offensive_images/25468.png,PNG,"(550, 283)",RGB
96578.png,mohammad is fucked by blink hacker group oink oink hi my names mohammad fuck you muslims,1,/content/drive/MyDrive/curate138dataset/offensive_images/96578.png,PNG,"(550, 366)",RGB
78409.png,i stand with hitler these was this time at auschwitz when i needed medical attention and doctor mengele was there for me,1,/content/drive/MyDrive/curate138dataset/offensive_images/78409.png,PNG,"(583, 800)",RGB
29814.png,if you hold a black baby to your ear you can hear the police sirens,1,/content/drive/MyDrive/curate138dataset/offensive_images/29814.png,PNG,"(550, 366)",RGB
54102.png,i am uncertain where i stand on abortion i like the killing babies but hate the idea of giving women a choice,1,/content/drive/MyDrive/curate138dataset/offensive_images/54102.png,PNG,"(825, 567)",RGB
14052.png,this is racist but this is not,1,/content/drive/MyDrive/curate138dataset/offensive_images/14052.png,PNG,"(240, 400)",RGB
26759.png,that look when you want to cut a bitch but you remember your a changed man,1,/content/drive/MyDrive/curate138dataset/offensive_images/26759.png,PNG,"(550, 400)",RGB
83456.png,what is the difference between santa and the jews santa goes down the chimney,1,/content/drive/MyDrive/curate138dataset/offensive_images/83456.png,PNG,"(277, 399)",RGB
24631.png,it is madam yooouu lookah like a man,1,/content/drive/MyDrive/curate138dataset/offensive_images/24631.png,PNG,"(280, 400)",RGB
03258.png,i heard we can get free steroids in australia please help feed and house this poor defenceless refugee do not be racist and let me in,1,/content/drive/MyDrive/curate138dataset/offensive_images/03258.png,PNG,"(550, 366)",RGB
20736.png,go be gay somewhere else,1,/content/drive/MyDrive/curate138dataset/offensive_images/20736.png,PNG,"(550, 368)",RGB
51473.png,god creates jews god creates jesus jews kill jesus god creates hitler god,1,/content/drive/MyDrive/curate138dataset/offensive_images/51473.png,PNG,"(550, 366)",RGB
48635.png,the look you give when the bubbles in the pool are pulsating your pussy just kidding she is retarted and that is her normal face,1,/content/drive/MyDrive/curate138dataset/offensive_images/48635.png,PNG,"(825, 549)",RGB
43612.png,racing for pink slips in africa,1,/content/drive/MyDrive/curate138dataset/offensive_images/43612.png,PNG,"(267, 400)",RGB
15480.png,we kill you on 911 and you elect 3 of us to congress stupid infidels,1,/content/drive/MyDrive/curate138dataset/offensive_images/15480.png,PNG,"(600, 800)",RGB
06873.png,just got a bootleg copy of muslim porn deep goat,1,/content/drive/MyDrive/curate138dataset/offensive_images/06873.png,PNG,"(550, 366)",RGB
08523.png,cute getting ready to start kid her life too bad she is already fkn dead raped and murdered by an illegal immigrant,1,/content/drive/MyDrive/curate138dataset/offensive_images/08523.png,PNG,"(382, 400)",RGB
76250.png,chillin with my chromies,1,/content/drive/MyDrive/curate138dataset/offensive_images/76250.png,PNG,"(550, 366)",RGB
80269.png,this is really out of mein kampfert zone,1,/content/drive/MyDrive/curate138dataset/offensive_images/80269.png,PNG,"(594, 800)",RGB
35219.png,they stole ma chickin i stole their life,1,/content/drive/MyDrive/curate138dataset/offensive_images/35219.png,PNG,"(533, 800)",RGB
56871.png,who cares if mexicans are offended americans are offended by illegal immigration,1,/content/drive/MyDrive/curate138dataset/offensive_images/56871.png,PNG,"(550, 366)",RGB
25180.png,hold up when she says she likes hung black men so you take her back to your place and she starts tying a noose,1,/content/drive/MyDrive/curate138dataset/offensive_images/25180.png,PNG,"(265, 399)",RGB
48106.png,fuck islam,1,/content/drive/MyDrive/curate138dataset/offensive_images/48106.png,PNG,"(282, 400)",RGB
38625.png,a german ss soldier punishing a small jewish boy by sticking a sharpened spear in the boys anus auschwitz concentration camp poland 1944 colorized,1,/content/drive/MyDrive/curate138dataset/offensive_images/38625.png,PNG,"(550, 365)",RGB
25368.png,when you suicide bomb an islamic mosque during a friday worship,1,/content/drive/MyDrive/curate138dataset/offensive_images/25368.png,PNG,"(532, 800)",RGB
92874.png,soconvert to islam or die i say fuck itlet us roll,1,/content/drive/MyDrive/curate138dataset/offensive_images/92874.png,PNG,"(266, 400)",RGB
27946.png,cadburys halal creme eggs now available in special edition,1,/content/drive/MyDrive/curate138dataset/offensive_images/27946.png,PNG,"(550, 366)",RGB
93521.png,ever notice that christians are bad drivers,1,/content/drive/MyDrive/curate138dataset/offensive_images/93521.png,PNG,"(550, 362)",RGB
14530.png,it is a proven fact marines islamic radicals are less prone to violent acts after they have been shot in the head,1,/content/drive/MyDrive/curate138dataset/offensive_images/14530.png,PNG,"(550, 366)",RGB
56482.png,heroin is destroying the white community keep up the good work heroin,1,/content/drive/MyDrive/curate138dataset/offensive_images/56482.png,PNG,"(550, 366)",RGB
34852.png,gee i would like to suicide bomb the crap out of that church but i got a thing at 5 could not abdul do it,1,/content/drive/MyDrive/curate138dataset/offensive_images/34852.png,PNG,"(825, 539)",RGB
68325.png,it happend mom a black guy gave me complement ohhh sweety i am so sorry that means you need to lose about 30 pounds,1,/content/drive/MyDrive/curate138dataset/offensive_images/68325.png,PNG,"(550, 385)",RGB
98362.png,it is madam look i found a penis,1,/content/drive/MyDrive/curate138dataset/offensive_images/98362.png,PNG,"(825, 549)",RGB
45938.png,hey i just met you and this is crazy this is my grenade so blow me maybe,1,/content/drive/MyDrive/curate138dataset/offensive_images/45938.png,PNG,"(300, 400)",RGB
70925.png,where did jimmy go during the bombing everywhere,1,/content/drive/MyDrive/curate138dataset/offensive_images/70925.png,PNG,"(825, 549)",RGB
71364.png,obama voters,1,/content/drive/MyDrive/curate138dataset/offensive_images/71364.png,PNG,"(550, 412)",RGB
42179.png,immigrants illegal aliens,1,/content/drive/MyDrive/curate138dataset/offensive_images/42179.png,PNG,"(300, 400)",RGB
56490.png,how could this happen in the current year when it is 2019 and there are still people who refuse to celebrate rectal wart sex,1,/content/drive/MyDrive/curate138dataset/offensive_images/56490.png,PNG,"(550, 373)",RGB
07968.png,ernie mocks tyrones lack of a father in front of the whole class,1,/content/drive/MyDrive/curate138dataset/offensive_images/07968.png,PNG,"(550, 366)",RGB
81259.png,when you see a child in a gay parade half naked twerking with everyone celebrating ernie prepares to commit a hate crime,1,/content/drive/MyDrive/curate138dataset/offensive_images/81259.png,PNG,"(550, 388)",RGB
19753.png,how many times do we have to teach you this lesson you tranny freaks,1,/content/drive/MyDrive/curate138dataset/offensive_images/19753.png,PNG,"(550, 366)",RGB
61480.png,why is it bad to be a black jew because you have to sit at the back of the oven,1,/content/drive/MyDrive/curate138dataset/offensive_images/61480.png,PNG,"(550, 366)",RGB
43517.png,when you hear them yelling that allahakbar crap just shoot them before they blow up a bomb or start stabbin and shootin people,1,/content/drive/MyDrive/curate138dataset/offensive_images/43517.png,PNG,"(279, 400)",RGB
51736.png,america has stolen the jews the jews of god his jewelry the negroes they are the true hebrews google it,1,/content/drive/MyDrive/curate138dataset/offensive_images/51736.png,PNG,"(295, 399)",RGB
95426.png,i hate all fucking jews they are scum of the earth,1,/content/drive/MyDrive/curate138dataset/offensive_images/95426.png,PNG,"(550, 404)",RGB
04175.png,i am not racist because racism is a crime and crime is for black people,1,/content/drive/MyDrive/curate138dataset/offensive_images/04175.png,PNG,"(320, 400)",RGB
31479.png,the only perferred pronouns a tranny needs is it or thing,1,/content/drive/MyDrive/curate138dataset/offensive_images/31479.png,PNG,"(550, 366)",RGB
17205.png,i win again parkinsons center,1,/content/drive/MyDrive/curate138dataset/offensive_images/17205.png,PNG,"(200, 400)",RGB
74132.png,fuck allah fuck muslims and fuck islam and if you do not like what i say then fuck,1,/content/drive/MyDrive/curate138dataset/offensive_images/74132.png,PNG,"(550, 336)",RGB
03241.png,when black people make white jokes when white people make black jokes,1,/content/drive/MyDrive/curate138dataset/offensive_images/03241.png,PNG,"(317, 800)",RGB
61780.png,you may be a racist if your response to a question from an african american is to mention the inner city 25 times,1,/content/drive/MyDrive/curate138dataset/offensive_images/61780.png,PNG,"(550, 365)",RGB
81546.png,when i was a kid i thought black people were made from anal sex,1,/content/drive/MyDrive/curate138dataset/offensive_images/81546.png,PNG,"(533, 800)",RGB
93568.png,i am so fucking gay i cannot even think straight,1,/content/drive/MyDrive/curate138dataset/offensive_images/93568.png,PNG,"(550, 366)",RGB
06832.png,government shills hate him this aussie shitposter removes 50 muslims with this one weird trick and basically you are fucking accelerated,1,/content/drive/MyDrive/curate138dataset/offensive_images/06832.png,PNG,"(825, 549)",RGB
53941.png,i did not hear the question but the answer is white people are racist,1,/content/drive/MyDrive/curate138dataset/offensive_images/53941.png,PNG,"(273, 400)",RGB
97635.png,did not stand during the national anthem no one said a word whiteprivilege,1,/content/drive/MyDrive/curate138dataset/offensive_images/97635.png,PNG,"(825, 549)",RGB
09634.png,come on our shame tour we will show you how to murder babies and harass the elderly,1,/content/drive/MyDrive/curate138dataset/offensive_images/09634.png,PNG,"(550, 366)",RGB
76258.png,when you advocate for killing babies after their birth and then you have ash on your forhead for ash wednesday unbelievable smh,1,/content/drive/MyDrive/curate138dataset/offensive_images/76258.png,PNG,"(550, 366)",RGB
70435.png,this one time at camp we got so baked,1,/content/drive/MyDrive/curate138dataset/offensive_images/70435.png,PNG,"(825, 549)",RGB
08654.png,never had one before what a room to yourself a white bitch,1,/content/drive/MyDrive/curate138dataset/offensive_images/08654.png,PNG,"(463, 800)",RGB
80361.png,thanks trump for my new job making america white again,1,/content/drive/MyDrive/curate138dataset/offensive_images/80361.png,PNG,"(550, 366)",RGB
74536.png,for guys that like it nice and slow give me a call,1,/content/drive/MyDrive/curate138dataset/offensive_images/74536.png,PNG,"(550, 366)",RGB
75340.png,forgive me allah i just cannot understand why i am allowed to behead my enemies and marry little girls but i cannot eat a fucking ham sandwich,1,/content/drive/MyDrive/curate138dataset/offensive_images/75340.png,PNG,"(825, 549)",RGB
06471.png,colin kaepernick and his evil white oppressors oh wait those are his parents,1,/content/drive/MyDrive/curate138dataset/offensive_images/06471.png,PNG,"(266, 400)",RGB
68507.png,black chicks even the white ones are ugly,1,/content/drive/MyDrive/curate138dataset/offensive_images/68507.png,PNG,"(266, 400)",RGB
